Date,Price,Open,High,Low,Volume,Chg
10-02-2017,583.14,581.72,583.81,580.83,426.26M,0.0048
09-02-2017,580.33,577.1,581.15,576.66,362.17M,0.0049
08-02-2017,577.49,574.63,577.75,574.63,337.25M,0.0043
07-02-2017,575.03,573.44,575.74,572.93,371.98M,0.004
06-02-2017,572.72,574.14,574.2,572.48,318.97M,-0.0029
03-02-2017,574.4,573.97,576.11,572.38,351.94M,0.004
02-02-2017,572.12,572.07,574.03,570.55,350.12M,0.0044
01-02-2017,569.64,571.23,571.72,568.59,359.75M,-0.0041
31-01-2017,571.99,568.95,572.04,568.75,475.29M,0.0025
30-01-2017,570.59,569.96,570.78,568.28,310.22M,-0.002
27-01-2017,571.71,574.16,574.17,570.82,283.62M,-0.005
26-01-2017,574.61,578.06,578.44,574.45,319.51M,-0.0077
25-01-2017,579.05,577.33,579.83,577.33,302.42M,0.0054
24-01-2017,575.92,570.43,576.45,570.43,295.10M,0.0112
23-01-2017,569.54,568.78,570.04,567.81,255.61M,-0.0001
20-01-2017,569.6,566.33,570.34,566.33,293.85M,0.0079
19-01-2017,565.11,567.07,567.85,563.73,273.80M,-0.0033
18-01-2017,567,566.34,567.37,564.99,291.10M,0.0022
17-01-2017,565.75,560.78,566.22,560.42,334.96M,0.0096
13-01-2017,560.38,559.78,560.6,558.75,216.86M,0.0018
12-01-2017,559.37,559.31,559.75,557,260.42M,-0.0011
11-01-2017,560,559.01,560.1,557.79,291.58M,0.0011
10-01-2017,559.38,561.03,561.17,558.68,328.16M,-0.0022
09-01-2017,560.63,562.78,562.97,560.3,269.31M,-0.0073
06-01-2017,564.75,564.66,566.09,562.19,275.50M,0.0004
05-01-2017,564.55,564.29,565.12,562.94,347.22M,-0.0013
04-01-2017,565.3,562.01,566.11,562.01,364.39M,0.0084
03-01-2017,560.6,559.16,561.54,557.91,288.90M,0.0065
30-12-2016,556.96,560.34,560.84,555.76,216.06M,-0.0049
29-12-2016,559.7,557.8,559.99,557.8,166.58M,0.0035
28-12-2016,557.74,560.87,561.16,557.52,201.92M,-0.0061
27-12-2016,561.15,560.91,562.36,560.88,164.89M,0.0009
23-12-2016,560.64,559.71,560.85,559.57,160.35M,0.0017
22-12-2016,559.69,560.87,560.9,558.68,247.26M,-0.0028
21-12-2016,561.26,561.01,562.99,560.91,235.43M,0.0014
20-12-2016,560.45,559.14,560.45,557.12,252.96M,0
19-12-2016,560.44,560.88,562.22,559.38,263.39M,-0.0001
16-12-2016,560.49,560.37,561.48,559.24,463.91M,0.0017
15-12-2016,559.53,558.43,561.93,557.16,314.27M,0.0024
14-12-2016,558.17,565.03,565.76,557.12,331.19M,-0.0124
13-12-2016,565.15,563.14,566.84,563.14,307.30M,0.0043
12-12-2016,562.73,561.93,563.61,561.33,301.11M,0.001
09-12-2016,562.19,557.39,562.52,557.27,331.43M,0.0098
08-12-2016,556.75,556.34,558.46,554.4,335.45M,-0.0013
07-12-2016,557.46,547.29,558.02,547.24,412.21M,0.019
06-12-2016,547.08,545.78,547.19,545.37,297.90M,0.0028
05-12-2016,545.57,542.84,546.16,542.84,314.19M,0.0066
02-12-2016,541.99,541.19,543.98,540.23,82.83M,0.0023
01-12-2016,540.77,543.04,543.82,539.52,111.95M,-0.0052
30-11-2016,543.61,551.21,551.56,543.61,136.85M,-0.0154
29-11-2016,552.12,552.01,553.13,551.34,78.36M,-0.0003
28-11-2016,552.27,553.25,553.88,550.88,79.12M,-0.0024
25-11-2016,553.58,550.44,553.62,550.44,34.37M,0.0078
23-11-2016,549.29,550.71,551.66,548.44,68.63M,-0.0049
22-11-2016,551.97,549.17,552.57,549.17,83.91M,0.0067
21-11-2016,548.32,545.36,548.38,544.53,79.05M,0.0063
18-11-2016,544.87,547.84,548.12,544.42,96.07M,-0.006
17-11-2016,548.16,546.49,548.85,545.34,78.78M,0.0035
16-11-2016,546.25,545.36,547.35,544.92,73.77M,0.001
15-11-2016,545.68,542.93,546.06,542.93,88.55M,0.0068
14-11-2016,541.97,544.41,545.49,540.54,106.03M,-0.004
11-11-2016,544.14,542.64,545.9,540.49,112.48M,0.0016
10-11-2016,543.29,554.41,554.41,542.15,145.41M,-0.022
09-11-2016,555.49,559.27,559.27,547.19,119.55M,-0.016
08-11-2016,564.54,559.47,565.92,559.47,80.35M,0.0093
07-11-2016,559.33,553.04,559.37,553.04,83.16M,0.018
04-11-2016,549.44,551.61,553.42,549.25,84.27M,-0.007
03-11-2016,553.32,556.78,556.85,552.49,80.88M,-0.0049
02-11-2016,556.02,557.34,559.89,555.66,86.10M,-0.0032
01-11-2016,557.81,561.51,562.44,555.43,91.37M,-0.0057
31-10-2016,561.03,560.08,562.37,559.19,109.24M,0.0009
28-10-2016,560.54,557.73,562.95,557.61,93.55M,0.0061
27-10-2016,557.12,562.37,562.8,556.43,94.07M,-0.007
26-10-2016,561.04,561.28,563.43,559.97,77.85M,0.0003
25-10-2016,560.88,562.43,564.54,560.68,92.44M,-0.0036
24-10-2016,562.91,561.13,563.99,561.13,75.24M,0.0064
21-10-2016,559.33,555.92,560,555.55,97.80M,0.0044
20-10-2016,556.89,558.79,559.03,556,72.59M,-0.0041
19-10-2016,559.17,560.77,560.77,557.19,75.32M,-0.0028
18-10-2016,560.74,561.84,562.84,560.53,68.81M,0.0038
17-10-2016,558.61,560.62,561.4,558.35,67.54M,-0.003
14-10-2016,560.31,561.33,563.91,560.31,70.95M,0.0003
13-10-2016,560.13,560.14,561.97,556.09,75.37M,-0.0032
12-10-2016,561.95,559.81,563.49,559.6,59.74M,0.0043
11-10-2016,559.52,564.03,564.03,557.78,73.93M,-0.0086
10-10-2016,564.36,565.82,568.01,563.74,58.46M,0.0007
07-10-2016,563.96,567.18,567.34,560.7,84.59M,-0.0033
06-10-2016,565.84,564.04,566.87,562.59,70.69M,0.0007
05-10-2016,565.47,565.7,566.93,564.56,100.44M,0.001
04-10-2016,564.88,569.51,569.67,563.74,75.54M,-0.0079
03-10-2016,569.35,570.55,570.55,568.16,67.32M,-0.0032
30-09-2016,571.16,567.86,573.22,567.86,111.35M,0.0093
29-09-2016,565.91,570.31,571.66,565.44,80.77M,-0.009
28-09-2016,571.03,570.68,571.55,568.19,90.71M,0.0017
27-09-2016,570.07,567.57,570.71,566.64,76.29M,0.0054
26-09-2016,567.02,570.82,570.82,566.78,74.66M,-0.0095
23-09-2016,572.43,574.95,575.15,572.42,69.98M,-0.0058
22-09-2016,575.76,573.05,576.49,573.05,75.25M,0.0088
21-09-2016,570.76,566.83,571.67,564.76,86.95M,0.0079
20-09-2016,566.28,568.48,569.1,566.03,69.37M,-0.0005
19-09-2016,566.57,566.67,569.79,566.27,76.40M,0.0016
16-09-2016,565.65,567.08,567.08,563.08,189.47M,-0.0036
15-09-2016,567.69,562.68,568.55,562.04,80.95M,0.0077
14-09-2016,563.33,564.96,567.06,561.8,82.71M,-0.0022
13-09-2016,564.57,571.11,571.11,562.95,91.38M,-0.0151
12-09-2016,573.22,562.11,574.08,561.93,98.13M,0.0194
09-09-2016,562.33,576.19,576.19,562.33,100.47M,-0.0297
08-09-2016,579.55,583,583,578.75,71.87M,-0.007
07-09-2016,583.65,586.33,586.57,582.21,73.45M,-0.006
06-09-2016,587.15,586.01,587.16,583.19,72.43M,0.0028
02-09-2016,585.53,584.36,587.41,584.36,86.26M,0.005
01-09-2016,582.62,582.36,582.67,579.05,76.32M,-0.0001
31-08-2016,582.67,582.57,582.93,579.93,83.36M,-0.0003
30-08-2016,582.85,585.97,586.1,581.67,68.63M,-0.0053
29-08-2016,585.96,582.89,586.23,582.89,59.65M,0.0057
26-08-2016,582.65,585.67,588.66,581.12,65.17M,-0.0045
25-08-2016,585.28,585.56,587.25,584.28,64.43M,-0.0012
24-08-2016,585.98,587.59,587.71,584.8,61.35M,-0.0035
23-08-2016,588.01,587.1,588.48,586.93,75.29M,0.0037
22-08-2016,585.87,586.09,586.64,584.5,62.15M,-0.0008
19-08-2016,586.36,585.21,586.51,583.57,79.44M,0.0011
18-08-2016,585.73,584.05,585.99,584.02,62.27M,0.0026
17-08-2016,584.22,582.94,584.52,580.3,62.66M,0.0029
16-08-2016,582.52,584.93,585.1,582.5,69.62M,-0.0064
15-08-2016,586.29,585.95,587.36,585.82,62.48M,0.0013
12-08-2016,585.54,585.21,586.64,584.48,61.65M,0.0007
11-08-2016,585.13,583.83,587.1,583.83,67.77M,0.003
10-08-2016,583.36,582.97,585.22,582.39,60.13M,0.0015
09-08-2016,582.5,582.08,584.77,581.65,62.44M,0.0011
08-08-2016,581.85,582.72,582.98,580.88,69.93M,-0.0012
05-08-2016,582.57,579.6,584.39,579.6,75.91M,0.0055
04-08-2016,579.38,578.1,581.13,578.1,68.46M,0.0025
03-08-2016,577.91,579.61,579.61,575.88,83.20M,-0.0031
02-08-2016,579.7,584.56,584.56,577.83,95.30M,-0.0085
01-08-2016,584.69,585.16,586.45,582.68,79.06M,-0.0008
29-07-2016,585.17,581.03,585.9,581.03,107.99M,0.0069
28-07-2016,581.15,580.01,581.97,576.38,99.68M,0.0018
27-07-2016,580.12,587.08,587.33,578.14,93.01M,-0.0116
26-07-2016,586.92,590.69,591.66,586.56,74.81M,-0.0063
25-07-2016,590.62,590.06,590.63,587.96,71.23M,0.001
22-07-2016,590.05,587.44,590.18,587.38,73.13M,0.0046
21-07-2016,587.35,588.49,588.92,584.99,80.00M,-0.0021
20-07-2016,588.57,589.24,590,587.82,66.08M,-0.001
19-07-2016,589.14,590.27,590.27,586.47,71.43M,-0.0021
18-07-2016,590.4,591.13,591.17,589.38,59.17M,-0.0011
15-07-2016,591.05,590.7,592.91,589.84,77.59M,0.0007
14-07-2016,590.66,590.41,593.83,590.11,69.51M,0.0007
13-07-2016,590.27,589.42,590.49,588.13,67.97M,0.0017
12-07-2016,589.24,589.11,591.27,588.66,80.35M,0.0005
11-07-2016,588.96,587.53,590.37,586.41,75.45M,0.0024
08-07-2016,587.57,579.93,587.86,579.93,87.84M,0.0139
07-07-2016,579.54,578.73,582.66,577.71,78.38M,0.0015
06-07-2016,578.7,576.94,579.3,573.69,107.77M,0.0026
05-07-2016,577.19,578.17,579.82,575.58,87.96M,-0.0024
01-07-2016,578.59,577.93,580.83,577.83,85.43M,0.0013
30-06-2016,577.81,565.63,577.83,565.63,133.49M,0.022
29-06-2016,565.37,557.89,565.64,557.89,89.62M,0.0145
28-06-2016,557.3,551.99,557.31,551.18,93.58M,0.0122
27-06-2016,550.6,556.01,556.01,547.23,116.39M,-0.0103
24-06-2016,556.33,574.51,574.51,554.85,224.58M,-0.0326
23-06-2016,575.05,570.51,575.05,570.51,64.60M,0.0088
22-06-2016,570.06,571.97,573.72,569.78,66.03M,-0.0032
21-06-2016,571.88,571.23,573.33,571.23,72.94M,0.0017
20-06-2016,570.93,567.05,574.91,567.05,73.00M,0.0072
17-06-2016,566.84,567.68,567.83,563.83,149.52M,-0.0015
16-06-2016,567.71,564.57,567.96,561.25,65.43M,0.005
15-06-2016,564.86,564.7,568.44,564.44,67.74M,0.0007
14-06-2016,564.47,563.84,565,560.24,73.55M,0.0001
13-06-2016,564.4,570.32,570.32,564.33,74.64M,-0.0106
10-06-2016,570.42,572.41,572.41,568.53,76.87M,-0.0056
09-06-2016,573.65,571.07,574.28,570.02,68.06M,0.0034
08-06-2016,571.71,569.09,572.18,568.54,72.21M,0.0045
07-06-2016,569.17,569.17,569.17,569.17,79.05M,0.0021
06-06-2016,567.97,566.96,568.74,565.55,72.40M,0.0018
03-06-2016,566.94,565.65,567.43,564.74,76.63M,0.0024
02-06-2016,565.57,564.05,565.57,562.56,69.85M,0.0025
01-06-2016,564.17,562.15,564.17,559.82,91.64M,0.0035
31-05-2016,562.2,564.91,566.39,559.96,113.33M,-0.0043
27-05-2016,564.64,563.08,565.28,563.05,86.30M,0.0029
26-05-2016,563,562.29,563.7,562.05,60.78M,0.0014
25-05-2016,562.24,561.09,563.94,561.08,68.31M,0.0021
24-05-2016,561.07,554.26,562.17,554.26,78.03M,0.0127
23-05-2016,554.04,554.09,555.5,553.68,67.10M,0.0001
20-05-2016,554,554.66,556.48,552.97,112.49M,-0.0012
19-05-2016,554.64,553.51,554.91,549.98,77.41M,0.0019
18-05-2016,553.6,557.75,557.75,550.45,72.85M,-0.008
17-05-2016,558.04,566.53,566.53,556.16,85.15M,-0.0153
16-05-2016,566.7,563.84,567.83,563.05,72.39M,0.0051
13-05-2016,563.8,570.18,570.18,562.42,77.05M,-0.0112
12-05-2016,570.2,567.15,571.21,567.03,77.38M,0.0058
11-05-2016,566.9,571.99,571.99,566.82,87.65M,-0.009
10-05-2016,572.07,565.54,572.11,565.54,72.91M,0.0118
09-05-2016,565.4,564.19,567.62,564.19,76.45M,0.0022
06-05-2016,564.16,560.1,564.36,558.8,78.60M,0.0073
05-05-2016,560.08,561.11,564.19,558.74,82.75M,-0.0019
04-05-2016,561.13,561.3,562.22,557.53,82.51M,-0.0009
03-05-2016,561.65,564.89,564.89,559.94,83.11M,-0.0062
02-05-2016,565.17,560.26,565.92,560.26,86.73M,0.0089
29-04-2016,560.16,559.5,561.08,556.48,114.34M,0.0004
28-04-2016,559.92,560.46,564.24,558.8,91.86M,-0.0017
27-04-2016,560.88,559.67,562.21,556.57,77.57M,0.0024
26-04-2016,559.55,559.76,561.74,558.16,81.97M,0.0002
25-04-2016,559.44,557.41,559.6,555.61,72.58M,0.0031
22-04-2016,557.7,555.49,557.89,554.13,95.08M,0.0039
21-04-2016,555.55,561.7,561.7,555.45,99.72M,-0.0112
20-04-2016,561.86,567.28,567.28,561.47,80.26M,-0.0097
19-04-2016,567.39,566.8,567.9,565.61,76.38M,0.0014
18-04-2016,566.6,563.76,567.23,562.96,70.38M,0.005
